treatment_group,outcome_rating,propensity_score,verified_purchase,product_category,total_votes,helpful_votes,segment
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,3,0.12085708462157246,No,Health & Personal Care,2,0,Lost Cause
Prime,2,0.7064714825662864,No,Apparel,34,14,Lost Cause
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,5,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.3246082588678925,No,Digital_Music_Purchase,0,0,Lost Cause
Prime,5,0.20969208107631912,Yes,Apparel,4,1,Lost Cause
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.8021538426053292,No,Apparel,10,10,Sleeper
Prime,5,0.3253945598991986,No,Digital_Music_Purchase,1,1,Lost Cause
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,3,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,3,0.12412193169753141,No,Health & Personal Care,2,1,Lost Cause
Prime,4,0.7943768837445078,No,Apparel,5,4,Sure Thing
Prime,5,0.22270173475773658,Yes,Apparel,0,0,Lost Cause
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7976218597933956,No,Apparel,36,32,Sleeper
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,4,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.21932329784011861,Yes,Apparel,3,2,Lost Cause
Prime,4,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,3,0.7836688596158804,No,Apparel,4,1,Persuadable
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7984448654539739,No,Apparel,12,11,Sleeper
Prime,4,0.7842758903999808,No,Apparel,5,2,Persuadable
Prime,4,0.12412193169753141,No,Health & Personal Care,2,1,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,3,0.7899660967301603,No,Apparel,6,4,Persuadable
Prime,4,0.3195411050924666,No,Digital_Music_Purchase,2,1,Lost Cause
Prime,3,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,2,0.7751349620827919,No,Apparel,41,32,Persuadable
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,3,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7975637094864633,No,Apparel,2,2,Sleeper
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,4,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,4,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.4026622445277671,No,Camera,12,2,Lost Cause
Prime,4,0.7836688596158804,No,Apparel,4,1,Persuadable
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,5,0.7961277137296114,No,Apparel,8,7,Sure Thing
Prime,5,0.7744466915184317,No,Apparel,6,1,Persuadable
Prime,3,0.7809373378164387,No,Apparel,8,4,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,3,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,3,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,5,0.48319777547424403,No,Camera,27,26,Lost Cause
Prime,3,0.12226588005193045,No,Health & Personal Care,404,355,Lost Cause
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,3,0.4138749780940087,No,Camera,8,0,Lost Cause
Prime,4,0.7975637094864633,No,Apparel,2,2,Sleeper
Prime,4,0.7975637094864633,No,Apparel,2,2,Sleeper
Prime,5,0.7435395896286738,No,Automotive,0,0,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7911530266768254,No,Apparel,8,6,Persuadable
Prime,3,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.25818916759389826,No,Digital_Video_Download,2,1,Lost Cause
Prime,4,0.7845941618177171,No,Apparel,14,10,Persuadable
Prime,3,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,2,0.7872925057686323,No,Apparel,10,7,Persuadable
Prime,2,0.12412193169753141,No,Health & Personal Care,2,1,Lost Cause
Prime,4,0.31876226510562944,No,Digital_Music_Purchase,1,0,Lost Cause
Prime,4,0.3195411050924666,No,Digital_Music_Purchase,2,1,Lost Cause
Prime,4,0.32896493286917045,No,Digital_Music_Purchase,14,13,Lost Cause
Prime,5,0.8221389403490984,No,Apparel,72,69,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,2,0.7806460156462973,No,Apparel,16,11,Persuadable
Prime,4,0.7949617289982128,No,Apparel,6,5,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7809373378164387,No,Apparel,8,4,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7860895676888668,No,Apparel,8,5,Persuadable
Prime,4,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,4,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,4,0.3246082588678925,No,Digital_Music_Purchase,0,0,Lost Cause
Prime,5,0.8358160042115114,No,Apparel,243,223,Sleeper
Prime,4,0.7981417938668754,No,Apparel,3,3,Sleeper
Prime,4,0.7987186440611279,No,Apparel,4,4,Sleeper
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.25818916759389826,No,Digital_Video_Download,2,1,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.3211018065450797,No,Digital_Music_Purchase,4,3,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7987186440611279,No,Apparel,4,4,Sleeper
Prime,4,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,5,0.7987186440611279,No,Apparel,4,4,Sleeper
Prime,5,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.25750327617296553,No,Digital_Video_Download,1,0,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7949617289982128,No,Apparel,6,5,Sure Thing
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,3,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.12373278988423611,No,Health & Personal Care,1,0,Lost Cause
Prime,3,0.7738199786949346,No,Apparel,5,0,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,2,0.7827713092099993,No,Apparel,11,7,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.29599276745386427,No,Digital_Music_Purchase,22,15,Lost Cause
Prime,3,0.7806460156462973,No,Apparel,16,11,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,5,0.7899660967301603,No,Apparel,6,4,Persuadable
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7911530266768254,No,Apparel,8,6,Persuadable
Prime,5,0.7943768837445078,No,Apparel,5,4,Sure Thing
Prime,3,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.12238870867953672,No,Health & Personal Care,6,4,Lost Cause
Prime,4,0.7981417938668754,No,Apparel,3,3,Sleeper
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.3253945598991986,No,Digital_Music_Purchase,1,1,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.12568901586838085,No,Health & Personal Care,6,5,Lost Cause
Prime,3,0.776319437867619,No,Apparel,9,4,Persuadable
Prime,5,0.8265115525444128,No,Apparel,55,55,Sleeper
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.25818916759389826,No,Digital_Video_Download,2,1,Lost Cause
Prime,5,0.12085708462157246,No,Health & Personal Care,2,0,Lost Cause
Prime,5,0.7979835870742248,No,Apparel,79,70,Sleeper
Prime,5,0.7961277137296114,No,Apparel,8,7,Sure Thing
Prime,3,0.7857152487048236,No,Apparel,304,266,Persuadable
Prime,5,0.8010137082902168,No,Apparel,8,8,Sleeper
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7899660967301603,No,Apparel,6,4,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7790922525890631,No,Apparel,5,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7797085155074212,No,Apparel,6,2,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7981417938668754,No,Apparel,3,3,Sleeper
Prime,5,0.7830605931842805,No,Apparel,3,0,Persuadable
Prime,3,0.7884904992263235,No,Apparel,12,9,Persuadable
Prime,3,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7227011833774085,No,Apparel,463,395,Lost Cause
Prime,5,0.12373278988423611,No,Health & Personal Care,1,0,Lost Cause
Prime,5,0.3253945598991986,No,Digital_Music_Purchase,1,1,Lost Cause
Prime,5,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,3,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7981417938668754,No,Apparel,3,3,Sleeper
Prime,5,0.3129727666423729,No,Digital_Music_Purchase,2,0,Lost Cause
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,3,0.7643042298834088,No,Apparel,7,0,Lost Cause
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.2602539763895949,No,Digital_Video_Download,5,4,Lost Cause
Prime,5,0.7854862445379855,No,Apparel,7,4,Persuadable
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,2,0.7935710674081532,No,Apparel,46,40,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7842758903999808,No,Apparel,5,2,Persuadable
Prime,5,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,3,0.7848816854105684,No,Apparel,6,3,Persuadable
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7975637094864633,No,Apparel,2,2,Sleeper
Prime,5,0.4684258842394097,No,Camera,2,2,Lost Cause
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,3,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,3,0.31876226510562944,No,Digital_Music_Purchase,1,0,Lost Cause
Prime,5,0.7848816854105684,No,Apparel,6,3,Persuadable
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,4,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.25241414174861626,No,Digital_Video_Download,2,0,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,2,0.7833801623724185,No,Apparel,12,8,Persuadable
Prime,5,0.7949617289982128,No,Apparel,6,5,Sure Thing
Prime,3,0.7987186440611279,No,Apparel,4,4,Sleeper
Prime,5,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,4,0.3246082588678925,No,Digital_Music_Purchase,0,0,Lost Cause
Prime,3,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7911530266768254,No,Apparel,8,6,Persuadable
Prime,4,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.32032095325902354,No,Digital_Music_Purchase,3,2,Lost Cause
Prime,5,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,3,0.6899944358571839,No,Apparel,241,194,Lost Cause
Prime,5,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.3246082588678925,No,Digital_Music_Purchase,0,0,Lost Cause
Prime,2,0.7599549412183583,No,Apparel,441,382,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,2,0.7943768837445078,No,Apparel,5,4,Sure Thing
Prime,5,0.1270640936921708,No,Health & Personal Care,1,1,Lost Cause
Prime,3,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7998686429245112,No,Apparel,6,6,Sleeper
Prime,3,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7992942603238775,No,Apparel,5,5,Sleeper
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.2602539763895949,No,Digital_Video_Download,5,4,Lost Cause
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,3,0.12451212346611629,No,Health & Personal Care,3,2,Lost Cause
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.12373278988423611,No,Health & Personal Care,1,0,Lost Cause
Prime,4,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,4,0.7992942603238775,No,Apparel,5,5,Sleeper
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.3285495797878528,No,Digital_Music_Purchase,5,5,Lost Cause
Prime,4,0.7940987219614436,No,Apparel,13,11,Sure Thing
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,2,0.7057482069319082,No,Apparel,211,170,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,5,0.3269701131524728,No,Digital_Music_Purchase,3,3,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,3,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,4,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,4,0.765593147074165,No,Apparel,9,2,Lost Cause
Prime,2,0.7409118430656115,No,Apparel,116,92,Lost Cause
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,3,0.7943768837445078,No,Apparel,5,4,Sure Thing
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,4,0.3246082588678925,No,Digital_Music_Purchase,0,0,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.3261818457325034,No,Digital_Music_Purchase,2,2,Lost Cause
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7830605931842805,No,Apparel,3,0,Persuadable
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7899660967301603,No,Apparel,6,4,Persuadable
Prime,5,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,5,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.4684258842394097,No,Camera,2,2,Lost Cause
Prime,3,0.2997786454319174,No,Digital_Music_Purchase,44,35,Lost Cause
Prime,4,0.7854862445379855,No,Apparel,7,4,Persuadable
Prime,2,0.30383774977195105,No,Digital_Music_Purchase,7,3,Lost Cause
Prime,4,0.12123843361910774,No,Health & Personal Care,3,1,Lost Cause
Prime,5,0.7899660967301603,No,Apparel,6,4,Persuadable
Prime,4,0.010236507795343621,Yes,Health & Personal Care,1,0,Lost Cause
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,3,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7579367088807873,No,Apparel,243,207,Lost Cause
Prime,5,0.7854862445379855,No,Apparel,7,4,Persuadable
Prime,3,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,4,0.7830605931842805,No,Apparel,3,0,Persuadable
Prime,3,0.7803235439943649,No,Apparel,7,3,Persuadable
Prime,5,0.3218836618695919,No,Digital_Music_Purchase,5,4,Lost Cause
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7881764305470706,No,Apparel,3,1,Persuadable
Prime,2,0.7827713092099993,No,Apparel,11,7,Persuadable
Prime,5,0.78158064368655,No,Apparel,26,20,Persuadable
Prime,5,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,4,0.7884904992263235,No,Apparel,12,9,Persuadable
Prime,5,0.7720275611991375,No,Apparel,53,42,Lost Cause
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,4,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,3,0.7827713092099993,No,Apparel,11,7,Persuadable
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,5,0.7955453389356472,No,Apparel,7,6,Sure Thing
Prime,3,0.7809373378164387,No,Apparel,8,4,Persuadable
Prime,5,0.12085708462157246,No,Health & Personal Care,2,0,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7803235439943649,No,Apparel,7,3,Persuadable
Prime,2,0.7790922525890631,No,Apparel,5,1,Persuadable
Prime,5,0.4711042516129698,No,Camera,5,5,Lost Cause
Prime,4,0.3246082588678925,No,Digital_Music_Purchase,0,0,Lost Cause
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,5,0.7975637094864633,No,Apparel,2,2,Sleeper
Prime,5,0.3261818457325034,No,Digital_Music_Purchase,2,2,Lost Cause
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,3,0.7824817466363946,No,Apparel,19,14,Persuadable
Prime,5,0.7860895676888668,No,Apparel,8,5,Persuadable
Prime,4,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,5,0.7992942603238775,No,Apparel,5,5,Sleeper
Prime,4,0.3195411050924666,No,Digital_Music_Purchase,2,1,Lost Cause
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7905601797648855,No,Apparel,7,5,Persuadable
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.78757740275796,No,Apparel,2,0,Persuadable
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,4,0.1270640936921708,No,Health & Personal Care,1,1,Lost Cause
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7836688596158804,No,Apparel,4,1,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7830605931842805,No,Apparel,3,0,Persuadable
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,4,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.12666706170723838,No,Health & Personal Care,0,0,Lost Cause
Prime,4,0.7905601797648855,No,Apparel,7,5,Persuadable
